,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
1,2.38,8.34,0.48,jsat,2,3.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,7464.34749025
5,4.83,9.54,1.55,jsat,2,5.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,7514.0666697
15,5.35,11.71,0.18,jsat,4.5,2.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,8096.773573
38,0.12,14.71,0.26,jsat,2?,3.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,10067.9957787
54,8.16,5.03,0.81,jsat,4,2.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,10381.4717443
21,7.95,7.0,0.66,jsat,4.5,2.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,10557.5932292
93,,23.14,1.39,jsat,10,2.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,11138.9012188
25,0.22,3.98,0.06,jsat,3,3.5,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,11230.4875562
28,2.72,3.76,0.17,jsat,3,2.5,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,11318.7083013
59,2.45,1.2,1.07,jsat,3.5,5.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,11321.387302
12,0.21,1.97,0.15,jsat,4.5,4.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,11368.036296
57,2.97,10.28,0.08,jsat,3.5,2.5,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,11385.2098758
37,0.12,18.74,0.43,jsat,2?,3.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,13009.204343
50,5.04,2.2,1.32,jsat,4,5.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,13973.2191229
63,5.57,8.43,0.56,jsat,3.5,2.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,14235.409897
78,2.6,18.71,0.48,jsat,2.5,2.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,14345.4886815
95,,5.03,1.86,jsat,10,2.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,14720.2572174
9,7.95,16.77,1.04,jsat,2,2.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,14977.4961526
80,2.37,22.31,0.45,jsat,2.5,10.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,15230.761902
79,2.87,16.54,0.55,jsat,2.5,10.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,15288.4984543
17,4.83,0.23,1.17,jsat,4.5,5.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,15588.3678211
24,2.81,7.38,0.19,jsat,3,4.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,15654.6365835
23,7.72,10.6,0.63,jsat,4.5,10.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,15732.0727005
14,2.38,5.46,0.07,jsat,4.5,3.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,16129.4690163
94,,5.86,1.58,jsat,10,2.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,16862.9989795
67,2.94,3.71,0.28,jsat,3,2.5,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,16916.6208662
58,2.94,7.74,0.11,jsat,3.5,2.5,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,16954.5174263
22,8.22,4.83,0.73,jsat,4.5,10.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,17327.4040673
3,5.35,1.94,0.56,jsat,2,2.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,18143.6327208
56,7.93,8.63,0.78,jsat,4,10.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,18525.8485426
4,5.32,0.6,0.59,jsat,2,2.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,19007.2559244
48,5.56,13.68,0.33,jsat,4,2.5,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,19053.8052904
36,2.71,22.14,0.18,jsat,2?,4.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,19680.0450585
65,5.34,12.03,0.53,jsat,3.5,10.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,20216.4327633
16,5.32,9.17,0.21,jsat,4.5,2.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,21205.4186872
72,5.57,12.46,0.73,jsat,3,2.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,21373.9791214
55,8.43,2.86,0.88,jsat,4,10.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,21398.9428659
75,,13.68,1.38,jsat,2.5,10.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,21904.8411905
64,5.84,6.26,0.63,jsat,3.5,10.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,21928.9798004
27,2.75,6.3,0.14,jsat,3,2.5,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,22255.6095733
90,3.12,7.23,0.51,jsat,5,2.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,22380.9809949
11,7.72,20.37,1.01,jsat,2,10.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,22681.013888
39,2.85,8.46,0.51,jsat,2?,2.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,22917.8962423
18,,1.97,1.2,jsat,4.5,10.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,23120.196886
33,5.35,12.41,0.62,jsat,3,2.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,23422.9158224
66,2.97,6.25,0.25,jsat,3,2.5,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,23748.5633454
51,,0.0,1.05,jsat,4,10.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,24822.6836691
10,8.22,14.6,1.11,jsat,2,10.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,25124.3055749
49,5.53,11.14,0.36,jsat,4,2.5,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,25717.1375891
45,5.45,27.17,0.99,jsat,2?,2.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,26500.7049475
60,,3.4,1.3,jsat,3.5,10.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,27596.966398
74,5.34,16.06,0.7,jsat,3,10.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,29190.2571591
76,3.57,9.46,0.01,jsat,2.5,2.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,29616.5807789
6,,11.74,0.82,jsat,2,10.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,29659.9809198
92,2.89,10.83,0.54,jsat,5,10.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,29843.2230257
35,5.12,16.01,0.59,jsat,3,10.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,30602.0735734
84,2.63,16.17,0.45,jsat,2.5,2.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,31159.0968709
73,5.84,10.29,0.8,jsat,3,10.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,31660.7348418
91,3.39,5.06,0.44,jsat,5,10.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,32086.3016894
34,5.62,10.24,0.69,jsat,3,10.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,32683.9765079
19,8.92,21.17,0.19,jsat,4.5,2.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,32835.3138439
47,5.22,30.77,0.96,jsat,2?,10.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,33146.3130712
77,3.84,7.82,0.2,jsat,2.5,2.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,34312.8837491
46,5.72,25.0,1.06,jsat,2?,10.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,34937.2886169
52,9.13,23.14,0.34,jsat,4,2.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,35880.4975052
69,,7.43,1.13,jsat,3,10.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,36091.4319829
86,2.4,19.77,0.42,jsat,2.5,10.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,36909.994772
87,,2.2,2.37,jsat,5,10.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,36971.4212898
61,6.54,19.74,0.09,jsat,3.5,2.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,37448.1786221
30,,7.38,1.24,jsat,3,10.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,37839.0030961
20,9.19,3.89,0.38,jsat,4.5,2.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,38127.2964381
85,2.9,14.0,0.52,jsat,2.5,10.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,38248.9566688
7,8.92,11.4,0.57,jsat,2,2.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,40382.3235
42,,22.14,0.87,jsat,2?,10.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,40498.6520195
53,9.4,5.86,0.53,jsat,4,2.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,41578.6467505
62,6.81,2.46,0.28,jsat,3.5,2.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,42752.6321367
81,,11.14,1.41,jsat,2.5,10.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,44289.154934
8,9.19,5.88,0.76,jsat,2,2.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,45966.8421339
70,6.54,15.71,0.26,jsat,3,2.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,46884.625038
88,4.09,20.94,0.98,jsat,5,2.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,47515.997006
31,6.32,15.76,0.15,jsat,3,2.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,48188.0381018
43,6.42,1.0,0.52,jsat,2?,2.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,50457.2155532
71,6.81,1.57,0.45,jsat,3,2.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,52484.7829142
89,4.36,3.66,0.79,jsat,5,2.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,53026.0003815
82,3.6,12.0,0.02,jsat,2.5,2.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,53539.1459034
32,6.59,1.52,0.34,jsat,3,2.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,53625.6758616
44,6.69,16.28,0.71,jsat,2?,2.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,55744.0874926
83,3.87,5.28,0.17,jsat,2.5,2.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,58543.0095069
