,Quantity,Signal 1,Signal 2,DTW,Delta Ptot,Delta Tdiv,Delta nbar,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar
128,jsat,30506 (3.21-3.27),32238 (6.40-6.80),9.223372036854776e+18,10.49,21.41,3.23,38.314,21.1985,,18.97,-0.47,11.16,9.4666,0.0,0.0482738,8.48,20.94,7.93
114,jsat,30506 (3.21-3.27),32233 (5.05-5.33),9.223372036854776e+18,7.09,20.64,2.29,38.314,21.1985,,18.97,-0.47,11.16,25.747,0.0,1.9545,11.88,20.17,8.87
115,jsat,30506 (3.21-3.27),32234 (3.50-3.70),9.223372036854776e+18,5.63,19.21,2.37,38.314,21.1985,,18.97,-0.47,11.16,25.546,0.0,2.14927,13.34,18.74,8.79
116,jsat,30506 (3.21-3.27),32234 (4.69-4.94),9.223372036854776e+18,6.58,5.75,1.37,38.314,21.1985,,18.97,-0.47,11.16,25.5276,0.0,0.0676609,12.39,5.28,9.79
1181,jsat,32239 (5.80-6.10),34188 (4.90-5.06),9.223372036854776e+18,6.02,1.53,0.69,9.46983,0.0,0.0811663,8.75,10.87,9.02,18.8245,6.73915,0.0,14.77,9.34,8.33
215,jsat,30506 (4.31-4.41),32237 (2.37-2.98),9.223372036854776e+18,9.21,27.8,5.91,38.326,21.2213,,17.68,-3.64,13.71,9.48679,0.0,0.0285357,8.47,24.16,7.8
1182,jsat,32239 (5.80-6.10),34189 (2.87-3.20),9.223372036854776e+18,7.05,13.53,1.65,9.46983,0.0,0.0811663,8.75,10.87,9.02,18.8352,5.00709,0.0,15.8,24.4,7.37
117,jsat,30506 (3.21-3.27),32234 (5.10-5.55),9.223372036854776e+18,6.4,8.23,2.34,38.314,21.1985,,18.97,-0.47,11.16,25.5233,0.0,0.0506868,12.57,7.76,8.82
127,jsat,30506 (3.21-3.27),32238 (5.72-6.08),9.223372036854776e+18,10.51,16.99,3.0,38.314,21.1985,,18.97,-0.47,11.16,9.46889,0.0,0.0927535,8.46,16.52,8.16
118,jsat,30506 (3.21-3.27),32235 (3.49-3.87),9.223372036854776e+18,5.3,21.13,3.16,38.314,21.1985,,18.97,-0.47,11.16,25.5696,0.0,0.962967,13.67,20.66,8.0
126,jsat,30506 (3.21-3.27),32238 (4.63-5.06),9.223372036854776e+18,10.46,20.23,3.17,38.314,21.1985,,18.97,-0.47,11.16,9.47207,0.0,0.177642,8.51,19.76,7.99
119,jsat,30506 (3.21-3.27),32235 (4.03-5.00),9.223372036854776e+18,5.29,20.65,3.67,38.314,21.1985,,18.97,-0.47,11.16,25.5597,0.0,0.934225,13.68,20.18,7.49
125,jsat,30506 (3.21-3.27),32238 (2.46-2.72),9.223372036854776e+18,10.43,28.34,3.67,38.314,21.1985,,18.97,-0.47,11.16,9.47367,0.0,0.0287791,8.54,27.87,7.49
124,jsat,30506 (3.21-3.27),32237 (3.74-4.01),9.223372036854776e+18,10.39,12.95,2.07,38.314,21.1985,,18.97,-0.47,11.16,9.4875,0.0,0.0881912,8.58,12.48,9.09
120,jsat,30506 (3.21-3.27),32235 (5.55-5.98),9.223372036854776e+18,5.31,20.36,3.68,38.314,21.1985,,18.97,-0.47,11.16,25.5361,0.0,0.926972,13.66,19.89,7.48
121,jsat,30506 (3.21-3.27),32235 (6.07-6.42),9.223372036854776e+18,5.48,19.81,3.55,38.314,21.1985,,18.97,-0.47,11.16,25.5268,0.0,0.862729,13.49,19.34,7.61
122,jsat,30506 (3.21-3.27),32235 (6.49-6.84),9.223372036854776e+18,5.08,22.59,3.87,38.314,21.1985,,18.97,-0.47,11.16,25.5133,0.0,0.274347,13.89,22.12,7.29
123,jsat,30506 (3.21-3.27),32237 (2.37-2.98),9.223372036854776e+18,10.5,24.63,3.36,38.314,21.1985,,18.97,-0.47,11.16,9.48679,0.0,0.0285357,8.47,24.16,7.8
104,jsat,30506 (3.21-3.27),32201 (5.90-6.20),9.223372036854776e+18,9.42,40.58,3.79,38.314,21.1985,,18.97,-0.47,11.16,9.6541,0.0,,9.55,40.11,7.37
