,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
18,5.35,11.71,0.18,jsat,4.5,2.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,5796.08224082
22,,16.17,,jsat,4.5,6.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,5877.55281456
80,,17.6,,jsat,3.5,6.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,6130.40744636
66,5.44,15.52,0.13,jsat,5,2.5,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,6304.33164061
63,8.16,5.03,0.81,jsat,4,2.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,6319.60786671
121,,8.63,1.83,jsat,10,10.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,6590.89994667
25,7.95,7.0,0.66,jsat,4.5,2.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,6713.96052166
1,0.09,13.58,0.43,jsat,2,5.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,6812.17055784
117,,23.14,1.39,jsat,10,2.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,6849.94245242
60,,14.2,,jsat,4,6.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,6929.46404478
14,0.21,1.97,0.15,jsat,4.5,4.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,6938.36556786
8,,25.94,,jsat,2,6.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,6988.57611413
76,2.97,10.28,0.08,jsat,3.5,2.5,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,7617.59584204
30,0.22,3.98,0.06,jsat,3,3.5,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,7618.30086684
36,,21.58,,jsat,3,6.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,8315.89895379
83,5.57,8.43,0.56,jsat,3.5,2.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,8687.46969635
33,2.72,3.76,0.17,jsat,3,2.5,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,8772.43959775
119,,5.03,1.86,jsat,10,2.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,9048.77677494
90,,21.63,,jsat,3,6.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,9090.38730894
124,,9.17,,jsat,6,2.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,9214.87668981
75,7.81,6.79,0.58,jsat,5,10.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,9297.78641527
11,7.95,16.77,1.04,jsat,2,2.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,9383.58064794
101,2.87,16.54,0.55,jsat,2.5,10.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,9480.36855943
122,,37.34,,jsat,6,2.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,9559.16123676
27,7.72,10.6,0.63,jsat,4.5,10.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,9784.69510925
34,2.23,5.18,1.13,jsat,3,5.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,9810.39942765
74,8.31,1.02,0.68,jsat,5,10.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,9922.52414258
118,,5.86,1.58,jsat,10,2.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,10085.0090685
26,8.22,4.83,0.73,jsat,4.5,10.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,10096.1957944
100,2.6,18.71,0.48,jsat,2.5,2.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,10364.6415933
