,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
1084,6.52,4.24,0.59,jsat,,10,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,20321.8925458
193,2.16,4.11,0.29,jsat,2,,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32228 (5.22-5.50),25.7248,9.63407,,11.81,21.24,8.03,20325.755534
8,7.9,7.55,2.07,jsat,2,,28767 (2.00-2.50),1.34941,0.0,,4.04,15.88,5.9,32228 (4.42-4.72),25.7448,7.0675,,11.94,23.43,7.97,20338.8960077
219,2.64,3.76,0.11,jsat,2,3?,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32931 (5.70-6.00),18.6992,10.9195,0.0,12.29,21.59,7.85,20344.2132359
980,6.46,3.03,0.66,jsat,,4.5,32238 (5.72-6.08),9.46889,0.0,0.0927535,8.46,16.52,8.16,34189 (5.25-5.50),18.8304,10.1737,0.0,14.92,19.55,7.5,20348.1700001
1018,6.56,10.28,0.11,jsat,,3.5,32239 (2.11-2.47),9.47128,0.0,0.0275171,8.53,30.41,7.33,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,20398.2521324
823,0.88,19.73,0.39,jsat,,2,32235 (6.07-6.42),25.5268,0.0,0.862729,13.49,19.34,7.61,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,20451.9585972
247,4.11,20.22,0.11,jsat,2,,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32235 (5.55-5.98),25.5361,0.0,0.926972,13.66,19.89,7.48,20492.4524531
346,3.18,17.7,0.58,jsat,3,2,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,20529.4127263
274,6.25,15.71,0.0,jsat,2,2,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34189 (2.87-3.20),18.8352,5.00709,0.0,15.8,24.4,7.37,20573.3453612
1193,1.15,3.7,0.64,jsat,2,3.5,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,20593.6014551
481,0.56,7.87,0.12,jsat,,2,32228 (5.22-5.50),25.7248,9.63407,,11.81,21.24,8.03,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,20604.2050387
11,8.36,15.77,1.98,jsat,2,2,28767 (2.00-2.50),1.34941,0.0,,4.04,15.88,5.9,32233 (2.76-2.96),25.778,0.0,0.0308418,12.4,31.65,7.88,20620.9624639
554,3.4,2.24,0.46,jsat,,4.5,32228 (6.20-6.48),25.7023,12.8457,,11.52,21.79,7.96,34189 (5.25-5.50),18.8304,10.1737,0.0,14.92,19.55,7.5,20621.6353328
843,5.43,5.6,0.87,jsat,,,32235 (6.49-6.84),25.5133,0.0,0.274347,13.89,22.12,7.29,32238 (5.72-6.08),9.46889,0.0,0.0927535,8.46,16.52,8.16,20690.7901698
722,2.7,7.35,0.39,jsat,,10,32234 (5.10-5.55),25.5233,0.0,0.0506868,12.57,7.76,8.82,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,20742.2444897
527,2.37,0.33,0.67,jsat,,,32228 (6.20-6.48),25.7023,12.8457,,11.52,21.79,7.96,32235 (6.49-6.84),25.5133,0.0,0.274347,13.89,22.12,7.29,20883.0984129
612,0.08,7.52,0.06,jsat,2,3?,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,32931 (5.70-6.00),18.6992,10.9195,0.0,12.29,21.59,7.85,20918.3212331
