,Quantity,Signal 1,Signal 2,DTW,
1339,jsat,32235 (6.49-6.84),34165 (3.52-3.70),244664.21363830566,
761,jsat,32225 (5.52-5.95),32233 (5.05-5.33),246727.7109375,
552,jsat,32201 (4.55-4.81),34188 (4.28-4.45),247326.00537109375,
880,jsat,32228 (4.42-4.72),34165 (3.52-3.70),248119.64836120605,
1648,jsat,32239 (2.11-2.47),34165 (3.52-3.70),250891.32691955566,
73,jsat,28767 (5.90-6.31),32225 (5.52-5.95),252307.69506835938,
1177,jsat,32234 (5.10-5.55),34189 (5.25-5.50),253797.3258972168,
703,jsat,32225 (3.52-3.70),34189 (4.25-4.50),255274.7109375,
2315,jsat,34188 (4.28-4.45),34189 (6.25-6.50),255921.85498046875,
503,jsat,32201 (3.66-3.93),34189 (4.25-4.50),257936.49609375,
968,jsat,32228 (6.20-6.48),34165 (3.52-3.70),260170.93435668945,
1138,jsat,32234 (4.69-4.94),34189 (5.25-5.50),260280.84315490723,
398,jsat,32201 (2.55-2.77),34189 (4.25-4.50),262820.505859375,
2283,jsat,34188 (3.25-3.42),34189 (4.25-4.50),263846.14208984375,
391,jsat,32201 (2.55-2.77),34165 (3.52-3.70),264822.9541015625,
551,jsat,32201 (4.55-4.81),34188 (4.04-4.20),266739.93359375,
2268,jsat,34188 (2.24-2.41),34189 (4.25-4.50),270634.9111328125,
705,jsat,32225 (3.52-3.70),34189 (6.25-6.50),275152.61328125,
505,jsat,32201 (3.66-3.93),34189 (6.25-6.50),277814.3984375,
556,jsat,32201 (4.55-4.81),34189 (5.25-5.50),278778.984375,
1245,jsat,32235 (4.03-5.00),34189 (5.25-5.50),280097.6940765381,
1379,jsat,32237 (2.37-2.98),34189 (5.25-5.50),281135.5476837158,
562,jsat,32201 (5.90-6.20),32225 (4.52-4.95),282136.744140625,
400,jsat,32201 (2.55-2.77),34189 (6.25-6.50),284334.548828125,
2284,jsat,34188 (3.25-3.42),34189 (5.25-5.50),287191.70849609375,
1557,jsat,32239 (3.90-4.20),34165 (3.52-3.70),295115.98863220215,
2285,jsat,34188 (3.25-3.42),34189 (6.25-6.50),298180.69873046875,
10,jsat,28767 (2.00-2.50),32225 (3.52-3.70),299059.82861328125,
6,jsat,28767 (2.00-2.50),32201 (3.66-3.93),302649.57470703125,
1634,jsat,32238 (3.58-3.84),34189 (5.25-5.50),302954.8389892578,
2270,jsat,34188 (2.24-2.41),34189 (6.25-6.50),305653.2236328125,
65,jsat,28767 (5.90-6.31),32201 (2.55-2.77),305921.8571777344,
744,jsat,32225 (4.52-4.95),34165 (3.52-3.70),310048.8310546875,
323,jsat,30506 (4.93-5.03),32239 (3.90-4.20),313003.6618652344,
347,jsat,30506 (4.93-5.03),34189 (6.25-6.50),320231.9930419922,
1374,jsat,32237 (2.37-2.98),34188 (4.04-4.20),323614.1648712158,
1629,jsat,32238 (3.58-3.84),34188 (4.04-4.20),325482.2950439453,
1313,jsat,32235 (6.07-6.42),34189 (5.25-5.50),326190.4932861328,
751,jsat,32225 (4.52-4.95),34189 (4.25-4.50),327277.150390625,
1051,jsat,32233 (5.05-5.33),34165 (2.00-2.33),327985.3369140625,
1279,jsat,32235 (5.55-5.98),34189 (5.25-5.50),329633.71716308594,
71,jsat,28767 (5.90-6.31),32225 (3.52-3.70),330463.9724121094,
1055,jsat,32233 (5.05-5.33),34188 (4.04-4.20),332698.3984375,
345,jsat,30506 (4.93-5.03),34189 (4.25-4.50),334688.6492919922,
1240,jsat,32235 (4.03-5.00),34188 (4.04-4.20),335030.5222015381,
67,jsat,28767 (5.90-6.31),32201 (3.66-3.93),336837.6013183594,
1308,jsat,32235 (6.07-6.42),34188 (4.04-4.20),336996.3331298828,
1370,jsat,32237 (2.37-2.98),34165 (2.00-2.33),338925.5203399658,
1206,jsat,32235 (3.49-3.87),34188 (4.04-4.20),344761.90519714355,
1274,jsat,32235 (5.55-5.98),34188 (4.04-4.20),346129.42517089844,
1211,jsat,32235 (3.49-3.87),34189 (5.25-5.50),349682.55949401855,
774,jsat,32225 (5.52-5.95),32238 (5.72-6.08),350976.80012512207,
1625,jsat,32238 (3.58-3.84),34165 (2.00-2.33),351098.8995361328,
1060,jsat,32233 (5.05-5.33),34189 (5.25-5.50),353394.353515625,
753,jsat,32225 (4.52-4.95),34189 (6.25-6.50),354334.537109375,
773,jsat,32225 (5.52-5.95),32238 (4.63-5.06),354407.80992126465,
1236,jsat,32235 (4.03-5.00),34165 (2.00-2.33),355213.6755218506,
1342,jsat,32235 (6.49-6.84),34188 (4.04-4.20),356153.84352111816,
775,jsat,32225 (5.52-5.95),32238 (6.40-6.80),358717.9487762451,
1651,jsat,32239 (2.11-2.47),34188 (4.04-4.20),358962.14820861816,
1304,jsat,32235 (6.07-6.42),34165 (2.00-2.33),359548.22717285156,
763,jsat,32225 (5.52-5.95),32234 (4.69-4.94),360525.0267486572,
1656,jsat,32239 (2.11-2.47),34189 (5.25-5.50),360634.93922424316,
770,jsat,32225 (5.52-5.95),32237 (2.37-2.98),361330.8904571533,
1270,jsat,32235 (5.55-5.98),34165 (2.00-2.33),362539.6805419922,
766,jsat,32225 (5.52-5.95),32235 (4.03-5.00),363406.5895843506,
971,jsat,32228 (6.20-6.48),34188 (4.04-4.20),363540.9035949707,
976,jsat,32228 (6.20-6.48),34189 (5.25-5.50),364273.52420043945,
1202,jsat,32235 (3.49-3.87),34165 (2.00-2.33),364981.68351745605,
780,jsat,32225 (5.52-5.95),32238 (3.58-3.84),367448.1046142578,
72,jsat,28767 (5.90-6.31),32225 (4.52-4.95),370818.0622558594,
1338,jsat,32235 (6.49-6.84),34165 (2.00-2.33),373785.10133361816,
1647,jsat,32239 (2.11-2.47),34165 (2.00-2.33),374981.68434143066,
1347,jsat,32235 (6.49-6.84),34189 (5.25-5.50),376483.53492736816,
768,jsat,32225 (5.52-5.95),32235 (6.07-6.42),376495.7237548828,
1208,jsat,32235 (3.49-3.87),34188 (4.90-5.06),377020.74894714355,
883,jsat,32228 (4.42-4.72),34188 (4.04-4.20),378547.00090026855,
682,jsat,32225 (3.52-3.70),32239 (4.56-4.95),378766.78060913086,
967,jsat,32228 (6.20-6.48),34165 (2.00-2.33),378925.5139465332,
767,jsat,32225 (5.52-5.95),32235 (5.55-5.98),379938.94763183594,
879,jsat,32228 (4.42-4.72),34165 (2.00-2.33),379951.15812683105,
482,jsat,32201 (3.66-3.93),32239 (4.56-4.95),381428.56576538086,
765,jsat,32225 (5.52-5.95),32235 (3.49-3.87),385799.75480651855,
678,jsat,32225 (3.52-3.70),32238 (5.72-6.08),387155.05793762207,
